,waist,hips,bra size,bust,height,size,body-shape,Dress-Style
186,27.0,36.0,34.0,35,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
187,28.0,44.0,32.0,37,5.08,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
188,29.0,36.0,34.0,36,5.5,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
189,27.0,34.0,32.0,32,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
190,35.0,45.0,38.0,45,5.07,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
191,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
192,28.0,40.0,36.0,38,5.5,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
193,36.0,45.0,38.0,42,5.07,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
194,34.0,47.0,38.0,36,5.08,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
195,38.0,47.0,40.0,46,5.06,26,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
196,41.0,48.0,42.0,42,5.5,20,,
197,25.0,34.0,30.0,32,5.04,3,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
198,32.0,38.0,36.0,37,5.07,11,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
199,36.0,47.0,40.0,40,5.06,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
200,36.0,44.0,36.0,41,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
201,27.0,37.0,32.0,36,5.08,3,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
202,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
203,25.0,36.0,32.0,35,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
204,29.0,44.0,34.0,35,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
205,29.0,38.0,34.0,37,5.02,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
206,31.0,40.0,36.0,37,5.5,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
207,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
208,31.0,44.0,32.0,32,5.07,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
209,24.0,35.0,34.0,34,5.02,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
210,30.0,41.0,38.0,40,5.5,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
211,27.0,39.0,32.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
212,29.0,38.0,32.0,34,5.02,4,,
213,28.0,38.0,30.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
214,27.0,38.0,34.0,37,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
215,29.0,38.0,34.0,37,5.02,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
216,29.0,38.0,36.0,37,5.02,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
217,26.0,35.0,34.0,29,5.02,5,,
218,29.0,39.0,34.0,36,5.07,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
219,29.0,44.0,34.0,35,5.06,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
220,28.0,38.0,30.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
221,28.0,38.0,32.0,35,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
222,37.0,47.0,40.0,45,6.0,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
223,36.0,47.0,38.0,39,5.03,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
224,28.0,36.0,36.0,36,5.04,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
225,30.0,39.0,36.0,36,5.07,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
226,42.0,53.0,40.0,52,5.5,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
227,29.0,35.0,34.0,38,5.07,4,,
228,29.0,38.0,32.0,34,5.02,8,,
229,28.0,38.0,34.0,34,5.02,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
230,28.0,38.0,30.0,35,5.04,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
231,31.0,42.0,38.0,39,5.5,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
232,40.0,50.0,38.0,44,5.06,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
233,31.0,41.0,34.0,37,5.04,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
234,36.0,45.0,40.0,43,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
235,34.0,43.0,36.0,40,5.03,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
236,30.0,38.0,32.0,39,5.5,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
237,29.0,30.0,32.0,35,5.01,4,Triangle,"ruffled tops or  deep-V, scoop or boat neck dresses Wide-legged pants "
238,27.0,37.0,32.0,36,5.08,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
239,26.0,32.0,32.0,32,5.06,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
240,26.0,36.0,32.0,34,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
241,28.0,36.0,34.0,35,5.1,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
242,30.0,36.0,34.0,36,5.0,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
243,31.0,39.0,36.0,35,5.02,8,,
244,26.0,40.0,34.0,36,5.04,4,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
